[0]  B: 11111111111111111111111111110011 | D: 4294967283 | H: 0xfffffff3
[1]  B: 00000000000000000000000000000000 | D: 0 | H: 0x0
[2]  B: 00000000000000000000000000000000 | D: 0 | H: 0x0
[3]  B: 00000000000000000000000000000000 | D: 0 | H: 0x0
[4]  B: 00000000000000000000000000000000 | D: 0 | H: 0x0
[5]  B: 00000000000000000000000000000000 | D: 0 | H: 0x0
[6]  B: 00000000000000000000000000000000 | D: 0 | H: 0x0
[7]  B: 00000000000000000000000000000000 | D: 0 | H: 0x0
[8]  B: 00000000000000000000000000000000 | D: 0 | H: 0x0
[9]  B: 00000000000000000000000000000000 | D: 0 | H: 0x0
[10]  B: 00000000000000000000000000000000 | D: 0 | H: 0x0
[11]  B: 00000000000000000000000000000000 | D: 0 | H: 0x0
[12]  B: 00000000000000000000000000000000 | D: 0 | H: 0x0
[13]  B: 00000000000000000000000000000000 | D: 0 | H: 0x0
[14]  B: 00000000000000000000000000000000 | D: 0 | H: 0x0
[15]  B: 00000000000000000000000000000000 | D: 0 | H: 0x0
[16]  B: 00000000000000000000000000000000 | D: 0 | H: 0x0
[17]  B: 00000000000000000000000000000000 | D: 0 | H: 0x0
[18]  B: 00000000000000000000000000000000 | D: 0 | H: 0x0
[19]  B: 00000000000000000000000000000000 | D: 0 | H: 0x0
[20]  B: 00000000000000000000000000000000 | D: 0 | H: 0x0
[21]  B: 00000000000000000000000000000000 | D: 0 | H: 0x0
[22]  B: 00000000000000000000000000000000 | D: 0 | H: 0x0
[23]  B: 00000000000000000000000000000000 | D: 0 | H: 0x0
[24]  B: 00000000000000000000000000000000 | D: 0 | H: 0x0
[25]  B: 00000000000000000000000000000000 | D: 0 | H: 0x0
[26]  B: 00000000000000000000000000000000 | D: 0 | H: 0x0
[27]  B: 00000000000000000000000000000000 | D: 0 | H: 0x0
[28]  B: 00000000000000000000000000000000 | D: 0 | H: 0x0
[29]  B: 00000000000000000000000000000000 | D: 0 | H: 0x0
[30]  B: 00000000000000000000000000000000 | D: 0 | H: 0x0
[31]  B: 00000000000000000000000000000000 | D: 0 | H: 0x0
