[0] zero B: 00000000000000000000000000000000 | D: 0 | H: 0x0
[1] at B: 00000000000000000000000000000000 | D: 0 | H: 0x0
[2] v0 B: 00000000000000000000000000000000 | D: 0 | H: 0x0
[3] v1 B: 00000000000000000000000000000000 | D: 0 | H: 0x0
[4] a0 B: 00000000000000000000000000001111 | D: 15 | H: 0xf
[5] a1 B: 00000000000000000000000000010110 | D: 22 | H: 0x16
[6] a2 B: 00000000000000000000000000010110 | D: 22 | H: 0x16
[7] a3 B: 00000000000000000000000000000000 | D: 0 | H: 0x0
[8] t0 B: 00000000000000000000000000001111 | D: 15 | H: 0xf
[9] t1 B: 00000000000000000000000010000100 | D: 132 | H: 0x84
[10] t2 B: 11111111111111111111111111111111 | D: 4294967295 | H: 0xffffffff
[11] t3 B: 00000000000000000000000000000000 | D: 0 | H: 0x0
[12] t4 B: 00000000000000000000000000000000 | D: 0 | H: 0x0
[13] t5 B: 00000000000000000000000000000000 | D: 0 | H: 0x0
[14] t6 B: 00000000000000000000000000000000 | D: 0 | H: 0x0
[15] t7 B: 00000000000000000000000000000000 | D: 0 | H: 0x0
[16] s0 B: 00000000000000000000000000000001 | D: 1 | H: 0x1
[17] s1 B: 11111111111111111111111111111111 | D: 4294967295 | H: 0xffffffff
[18] s2 B: 00000000000000000000000000000001 | D: 1 | H: 0x1
[19] s3 B: 00000000000000000000000000000010 | D: 2 | H: 0x2
[20] s4 B: 11111111111111111111111111111111 | D: 4294967295 | H: 0xffffffff
[21] s5 B: 00000000000000000000000000000000 | D: 0 | H: 0x0
[22] s6 B: 00000000000000000000000000000000 | D: 0 | H: 0x0
[23] s7 B: 00000000000000000000000000000000 | D: 0 | H: 0x0
[24] t8 B: 00000000000000000000000000000000 | D: 0 | H: 0x0
[25] t9 B: 00000000000000000000000000000000 | D: 0 | H: 0x0
[26] k0 B: 00000000000000000000000000000010 | D: 2 | H: 0x2
[27] k1 B: 00000000000000000000010000000010 | D: 1026 | H: 0x402
[28] gp B: 00000000000000000000010000000010 | D: 1026 | H: 0x402
[29] sp B: 00000000000000000000000000000000 | D: 0 | H: 0x0
[30] fp B: 00000000000000000000000000000000 | D: 0 | H: 0x0
[31] ra B: 00000000000000000000000001111000 | D: 120 | H: 0x78
